INWONER	aantal_inwoners
MAN	aantal_mannen
VROUW	aantal_vrouwen
INW_014	aantal_inwoners_0_tot_15_jaar
INW_1524	aantal_inwoners_15_tot_25_jaar
INW_2544	aantal_inwoners_25_tot_45_jaar
INW_4564	aantal_inwoners_45_tot_65_jaar
INW_65PL	aantal_inwoners_65_jaar_en_ouder
AANTAL_HH	aantal_part_huishoudens
GEM_HH_GR	gemiddelde_huishoudensgrootte
TOTHH_EENP	aantal_eenpersoonshuishoudens
TOTHH_MPZK	aantal_meerpersoonshuishoudens_zonder_kind
HH_EENOUD	aantal_eenouderhuishoudens
HH_TWEEOUD	aantal_tweeouderhuishoudens
GEBOORTE	aantal_geboorten
P_NL_ACHTG	percentage_nederlandse_achtergrond
P_WE_MIG_A	percentage_westerse_migr_achtergr
P_NW_MIG_A	percentage_niet_westerse_migr_achtergr
WONING	aantal_woningen
WONVOOR45	aantal_woningen_bouwjaar_voor_1945
WON_4564	aantal_woningen_bouwjaar_45_tot_65
WON_6574	aantal_woningen_bouwjaar_65_tot_75
WON_7584	aantal_woningen_bouwjaar_75_tot_85
WON_8594	aantal_woningen_bouwjaar_85_tot_95
WON_9504	aantal_woningen_bouwjaar_95_tot_05
WON_0514	aantal_woningen_bouwjaar_05_tot_15
P_KOOPWON	percentage_koopwoningen
P_HUURWON	percentage_huurwoningen
WON_HCORP	aantal_huurwoningen_in_bezit_woningcorporaties
WON_MRGEZ	aantal_meergezins_woningen
WON_NBEW	aantal_niet_bewoonde_woningen
G_GAS_WON	gemiddeld_gasverbruik_woning
G_ELEK_WON	gemiddeld_elektricteitsverbruik_woning
M_INKHH	mediaan_inkomen_huishouden
P_LINK_HH	percentage_laag_inkomen_huishouden
P_HINK_HH	percentage_hoog_inkomen_huishouden
UITKMINAOW	aantal_personen_met_uitkering_onder_AOWlft
AFS_HAPRAK	huisartsenpraktijk_gemiddelde_afstand_in_km
AV1_HAPRAK	huisartsenpraktijk_aantal_binnen_1_km
AV3_HAPRAK	huisartsenpraktijk_aantal_binnen_3_km
AV5_HAPRAK	huisartsenpraktijk_aantal_binnen_5_km
AFS_APOTH	apotheek_gemiddelde_afstand_in_km
AFS_ZIEK_E	ziekenhuis_excl_buitenpolikliniek_gem_afst_in_km
AV5_ZIEK_E	ziekenhuis_excl_buitenpoli_aantal_binnen_5_km
AV10ZIEK_E	ziekenhuis_excl_buitenpoli_aantal_binnen_10_km
AV20ZIEK_E	ziekenhuis_excl_buitenpoli_aantal_binnen_20_km
AFS_ZIEK_I	ziekenhuis_incl_buitenpolikliniek_gem_afst_in_km
AV5_ZIEK_I	ziekenhuis_incl_buitenpoli_aantal_binnen_5_km
AV10ZIEK_I	ziekenhuis_incl_buitenpoli_aantal_binnen_10_km
AV20ZIEK_I	ziekenhuis_incl_buitenpoli_aantal_binnen_20_km
AFS_OPRIT	oprit_hoofdverkeersweg_gemiddelde_afstand_in_km
AFS_KDV	kinderdagverblijf_gemiddelde_afstand_in_km
AV1_KDV	kinderdagverblijf_aantal_binnen_1_km
AV3_KDV	kinderdagverblijf_aantal_binnen_3_km
AV5_KDV	kinderdagverblijf_aantal_binnen_5_km
AFS_BSO	buitenschoolse_opvang_gem_afstand_in_km
AV1_BSO	buitenschoolse_opvang_aantal_binnen_1_km
AV3_BSO	buitenschoolse_opvang_aantal_binnen_3_km
AV5_BSO	buitenschoolse_opvang_aantal_binnen_5_km
AFS_ONDBAS	basisonderwijs_gemiddelde_afstand_in_km
AV1_ONDBAS	basisonderwijs_aantal_binnen_1_km
AV3_ONDBAS	basisonderwijs_aantal_binnen_3_km
AV5_ONDBAS	basisonderwijs_aantal_binnen_5_km
AFS_ONDVRT	voortgezet_onderwijs_gem_afstand_in_km
AV3_ONDVRT	voortgezet_onderwijs_aantal_binnen_3_km
AV5_ONDVRT	voortgezet_onderwijs_aantal_binnen_5_km
AV10ONDVRT	voortgezet_onderwijs_aantal_binnen_10_km
AFS_ONDHV	havo_vwo_gemiddelde_afstand_in_km
AV3_ONDHV	havo_vwo_aantal_binnen_3_km
AV5_ONDHV	havo_vwo_aantal_binnen_5_km
AV10_ONDHV	havo_vwo_aantal_binnen_10_km
AFS_ONDVMB	vmbo_gemiddelde_afstand_in_km
AV3_ONDVMB	vmbo_aantal_binnen_3_km
AV5_ONDVMB	vmbo_aantal_binnen_5_km
AV10ONDVMB	vmbo_aantal_binnen_10_km
AFS_SUPERM	grote_supermarkt_gemiddelde_afstand_in_km
AV1_SUPERM	grote_supermarkt_aantal_binnen_1_km
AV3_SUPERM	grote_supermarkt_aantal_binnen_3_km
AV5_SUPERM	grote_supermarkt_aantal_binnen_5_km
AFS_DAGLMD	winkels_ov_dagelijkse_levensm_gem_afst_in_km
AV1_DAGLMD	winkels_ov_dagel_levensm_aantal_binnen_1_km
AV3_DAGLMD	winkels_ov_dagel_levensm_aantal_binnen_3_km
AV5_DAGLMD	winkels_ov_dagel_levensm_aantal_binnen_5_km
AFS_WARENH	warenhuis_gemiddelde_afstand_in_km
AV5_WARENH	warenhuis_aantal_binnen_5_km
AV10WARENH	warenhuis_aantal_binnen_10_km
AV20WARENH	warenhuis_aantal_binnen_20_km
AFS_CAFE	cafe_gemiddelde_afstand_in_km
AV1_CAFE	cafe_aantal_binnen_1_km
AV3_CAFE	cafe_aantal_binnen_3_km
AV5_CAFE	cafe_aantal_binnen_5_km
AFS_CAFTAR	cafetaria_gemiddelde_afstand_in_km
AV1_CAFTAR	cafetaria_aantal_binnen_1_km
AV3_CAFTAR	cafetaria_aantal_binnen_3_km
